Nr,SiO2,Al2O3,Na2O,K2O,Li2O,CaO,MgO,BaO,ZnO,PbO,B2O3,"Calc. T,°C, for log η 2.0","ΔT,°C, for log η 2.0","Calc. T,°C, for log η 4.0","ΔT,°C, for log η 4.0","Calc. T,°C, for log η 6.0","ΔT,°C, for log η 6.0"
4,73.26,1.24,12.09,0,1.09,12.31,0,0,0,0,0,1410.2,4.9,994.8,5.9,801.2,6.9
5,68.4,1.16,13.41,0,0,8.3,0,8.73,0,0,0,1404.4,6,990.9,2.4,798.1,2.6
6,64.82,1.1,12.7,0,0,4.48,0,16.54,0,0,0,1385.7,-2.7,971.2,-1.1,777.9,-1.3
7,70.39,1.19,13.8,0,0,9.85,0,0,4.77,0,0,1420,2.2,1009.8,3.1,816.1,3.2
8,69.36,1.18,13.59,0,0,6.47,0,0,9.39,0,0,1436.7,-0.6,1015.8,-1.4,814.8,-1.5
9,70.92,1.2,13.9,0,0,11.92,0,0,0,0,2.05,1373.5,9.4,982.2,6.8,803.4,6.1
10,69.5,1.18,13.62,0,0,11.68,0,0,0,0,4.03,1325.6,13.1,956.1,6.3,789.9,3.6
13,68.94,1.17,13.51,0,0,9.97,0,0,0,6.4,0,1405.9,2.1,991.2,4.2,799.8,3.1
14,65.79,1.12,12.89,0,0,7.58,0,0,0,12.22,0,1395.5,-3.2,974,-7.9,781.6,-5.8
15,68.13,1.16,13.35,0,0,11.45,0,0,0,0,5.92,1282.7,3.5,933.9,-0.3,778.7,-1.9
17,62.01,1.05,12.15,0,0,10.42,0,0,0,0,14.37,1200,1.4,905.3,0.7,772.4,0.6
