# Compound Names Reference Database
# Format: Formula,Compound Name,Category
# This file contains systematic names for inorganic compounds

# Elements (pure metals and non-metals)
AgBr,Silver bromide,bromide
# Iodides
NaI,Sodium iodide,iodide
KI,Potassium iodide,iodide
LiI,Lithium iodide,iodide
MgI2,Magnesium iodide,iodide
CaI2,Calcium iodide,iodide
BaI2,Barium iodide,iodide
SrI2,Strontium iodide,iodide
FeI2,Iron(II) iodide,iodide
FeI3,Iron(III) iodide,iodide
ZnI2,Zinc iodide,iodide
NiI2,Nickel(II) iodide,iodide
CuI,Copper(I) iodide,iodide
CuI2,Copper(II) iodide,iodide
AlI3,Aluminum iodide,iodide
AgI,Silver iodide,iodide
